product_url,slug,discovered,html_downloaded,parsed,included_in_products_json,included_in_products_csv,failure_reason
https://cartly.com.pk/product/nose-defining-serum-in-pakistan,nose-defining-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bioaqua-camellia-anti-oxygen-nourishing-facial-serum,bioaqua-camellia-anti-oxygen-nourishing-facial-serum,true,true,true,true,true,
https://cartly.com.pk/product/best-nipple-cream-in-pakistan,best-nipple-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/honeydew-bust-firming-cream-in-pakistan,honeydew-bust-firming-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/v-tight-gel-price-in-pakistan,v-tight-gel-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/sabates-vaginal-tightening-cream-in-pakistan,sabates-vaginal-tightening-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/zenvista-v-secret-vaginal-tightening-cream,zenvista-v-secret-vaginal-tightening-cream,true,true,true,true,true,
https://cartly.com.pk/product/just-for-men-shampoo-in-haircolour-dark-brown,just-for-men-shampoo-in-haircolour-dark-brown,true,true,true,true,true,
https://cartly.com.pk/product/pk24-vagina-tightening-cream-in-pakistan,pk24-vagina-tightening-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/revitalize-100-vaginal-tightening-gel-in-pakistan,revitalize-100-vaginal-tightening-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/biomix-revita-squeeze-vaginal-tightening-gel,biomix-revita-squeeze-vaginal-tightening-gel,true,true,true,true,true,
https://cartly.com.pk/product/reverse-vaginal-tightening-gel-in-pakistan,reverse-vaginal-tightening-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/doc-johnson-reverse-tightening-gel-for-women,doc-johnson-reverse-tightening-gel-for-women,true,true,true,true,true,
https://cartly.com.pk/product/bosnow-sexy-pink-cream-in-pakistan,bosnow-sexy-pink-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bosnow-60ml-rose-area-moisturizing-cream,bosnow-60ml-rose-area-moisturizing-cream,true,true,true,true,true,
https://cartly.com.pk/product/mini-love-orgasmic-gel-in-pakistan,mini-love-orgasmic-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/v18-vaginal-tightening-cream-in-pakistan,v18-vaginal-tightening-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/v18-vaginal-tightening-spray-in-pakistan,v18-vaginal-tightening-spray-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/vega-teen-vaginal-tightening-cream-in-pakistan,vega-teen-vaginal-tightening-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/breast-firming-cream-in-pakistan,breast-firming-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/18-again-vaginal-shrink-cream-in-pakistan,18-again-vaginal-shrink-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/everteen-gel-in-pakistan,everteen-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/dr-rashel-products-online-in-pakistan,dr-rashel-products-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/dr-rashel-aloe-vera-cleansing-milk-120ml,dr-rashel-aloe-vera-cleansing-milk-120ml,true,true,true,true,true,
https://cartly.com.pk/product/apple-hair-color-96-natural-black-cream-in-pakistan,apple-hair-color-96-natural-black-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/sardar-jee-hair-color-gel-in-pakistan,sardar-jee-hair-color-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/apple-hair-colour-shampoo-natural-black-in-pakistan,apple-hair-colour-shampoo-natural-black-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/gk-argan-oil-hair-serum-50ml-in-pakistan,gk-argan-oil-hair-serum-50ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/accu-chek-performa-gluco-strips-box-50-strips-,accu-chek-performa-gluco-strips-box-50-strips-,true,true,true,true,true,
https://cartly.com.pk/product/voltaren-gel-in-pakistan,voltaren-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/moov-rapid-pain-relief-cream-in-pakistan,moov-rapid-pain-relief-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/uptown-la-niacinamide-serum-1000ml,uptown-la-niacinamide-serum-1000ml,true,true,true,true,true,
https://cartly.com.pk/product/minimalist-serums-in-pakistan,minimalist-serums-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/kojic-acid-1-alpha-arbutin-2-serum-in-pakistan,kojic-acid-1-alpha-arbutin-2-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/aichun-beauty-vitamin-e-face-serum-in-pakistan,aichun-beauty-vitamin-e-face-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bnb-aloe-vera-soothing-gel-200ml-in-pakistan,bnb-aloe-vera-soothing-gel-200ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/west-month-salicylic-acid-moisturizing-face-serum,west-month-salicylic-acid-moisturizing-face-serum,true,true,true,true,true,
https://cartly.com.pk/product/trstay-white-rice-whitening-face-serum-in-pakistan,trstay-white-rice-whitening-face-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/double-serum-clarins-paris-in-pakistan,double-serum-clarins-paris-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/tourmaline-herbal-soap-in-pakistan,tourmaline-herbal-soap-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/acne-foaming-cream-wash-in-pakistan,acne-foaming-cream-wash-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/l-oreal-paris-glycolic-bright-instant-glowing-face-serum,l-oreal-paris-glycolic-bright-instant-glowing-face-serum,true,true,true,true,true,
https://cartly.com.pk/product/bnb-skincare-kit-vitamin-in-pakistan,bnb-skincare-kit-vitamin-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/pears-soap-price-in-pakistan,pears-soap-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/johnson-s-baby-jelly-100-ml-in-pakistan,johnson-s-baby-jelly-100-ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/lux-body-wash-dazzling-pomegranate-450ml,lux-body-wash-dazzling-pomegranate-450ml,true,true,true,true,true,
https://cartly.com.pk/product/bio-varens-beaute-paris-40ml-in-pakistan,bio-varens-beaute-paris-40ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/smashbox-camera-ready-bb-water-spf-30,smashbox-camera-ready-bb-water-spf-30,true,true,true,true,true,
https://cartly.com.pk/product/smashbox-cosmetics-x-rated-mascara-review,smashbox-cosmetics-x-rated-mascara-review,true,true,true,true,true,
https://cartly.com.pk/product/rimmel-london-lasting-finish-25-hour-powder,rimmel-london-lasting-finish-25-hour-powder,true,true,true,true,true,
https://cartly.com.pk/product/max-factor-false-lash-epic-mascara-black,max-factor-false-lash-epic-mascara-black,true,true,true,true,true,
https://cartly.com.pk/product/elizabeth-arden-visible-difference-optimizing-skin-serum,elizabeth-arden-visible-difference-optimizing-skin-serum,true,true,true,true,true,
https://cartly.com.pk/product/rose-strawberry-yoni-oil-in-pakistan,rose-strawberry-yoni-oil-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/mederma-advanced-scar-gel-in-pakistan,mederma-advanced-scar-gel-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/series-8-pro-max-smart-watch-in-pakistan,series-8-pro-max-smart-watch-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/panasonic-electric-kettle-price-in-pakistan,panasonic-electric-kettle-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/starbuy-starry-sky-top-humidifier-in-pakistan,starbuy-starry-sky-top-humidifier-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-mini-travel-iron-price-in-pakistan,buy-mini-travel-iron-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-p9-headphones-online-at-best-in-pakistan,buy-p9-headphones-online-at-best-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/a9-1080p-hd-magnetic-wifi-mini-camera-in-pakistan,a9-1080p-hd-magnetic-wifi-mini-camera-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/airpods-pro-master-copy-in-pakistan,airpods-pro-master-copy-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/crystal-heating-hair-styler-combs-in-pakistan,crystal-heating-hair-styler-combs-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/interchangeable-3-in-1-hair-curler-wand-price-in-pakistan,interchangeable-3-in-1-hair-curler-wand-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/usb-electric-coffee-mug-warmer-with-in-pakistan,usb-electric-coffee-mug-warmer-with-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/multifunctional-flashlight-car-safety-hammer-flashlight,multifunctional-flashlight-car-safety-hammer-flashlight,true,true,true,true,true,
